,Accuracy,Fmeasure,Precision,Recall
0,0.3333333333333333,0.3925925925925926,0.5,0.3333333333333333
1,0.3333333333333333,0.20987654320987653,0.1746031746031746,0.3333333333333333
2,0.4444444444444444,0.4222222222222222,0.4074074074074074,0.4444444444444444
3,0.2222222222222222,0.18518518518518517,0.16666666666666666,0.2222222222222222
4,0.0,0.0,0.0,0.0
5,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
6,0.4444444444444444,0.42962962962962964,0.6481481481481481,0.4444444444444444
7,0.125,0.1,0.08333333333333333,0.125
8,0.25,0.16666666666666666,0.125,0.25
9,0.25,0.2357142857142857,0.5208333333333334,0.25
