Time,Compass_mean,Compass_std,KeyTypeBack_Count,KeyTypeDel_Count,KeyTypeEnter_Count,KeyType_Count,Lclick_Mean,Lclick_Std,Lclick_doubleclick,Lclick_oneclick,Mclick_Mean,Mclick_Std,MouseSpeed_Max,MouseWheel_Mean,Mousedisplacement_Sum,Mousedisplacement_lower50,Posture_Front_Max,Posture_Front_Mean,Posture_Front_Std,Posture_Rear_Max,Posture_Rear_Mean,Posture_Rear_Std,Posture_RightLeft_Max,Posture_RightLeft_Mean,Posture_RightLeft_Std,Q1,Q2,Q3,Q4,Rclick_Mean,Rclick_Std,Rotation_Max,Rotation_Mean,Rotation_Std,Rotation_lower05,Sag_mean,Sag_std,mistyping_Count
2018-08-31 13:20:33,44.47540983606557,5.07151048300553,0.0,0.0,1.0,0.0,1.1475409836065573,1.7400772547387149,5.0,5.0,0.0,0.0,1729.0,0.0,58694.0,0.3770491803278688,10.8,1.8729508196721314,2.0801372905510314,6.8,1.4595081967213124,1.6732318291552903,14.89,2.099508196721312,2.519742332216735,4.0,4.0,4.0,4.0,0.0,0.0,76.06,56.38377049180327,16.093403841733256,0.0,4.145901639344263,1.2006350778500245,1.0
2018-08-31 13:25:33,43.83606557377049,3.5410936534205195,0.0,0.0,0.0,0.0,0.04918032786885246,0.3841106397986868,0.0,0.0,0.0,0.0,906.0,0.0,4509.0,0.9344262295081968,6.36,1.7459016393442623,1.7142766959169498,7.86,1.781967213114754,1.855903032373667,8.13,2.1552459016393435,1.9019565422281839,4.0,4.0,4.0,4.0,0.0,0.0,75.91,56.2262295081967,13.369802188007421,0.0,4.531147540983608,1.7438024528413532,1.0
2018-08-31 13:35:26,41.88333333333333,4.24699960557068,0.0,0.0,0.0,0.0,0.6166666666666667,1.0430019690032384,10.0,6.0,0.05,0.28671133537149984,855.0,0.0,50982.0,0.5,7.34,2.0448333333333326,1.9961237790384985,5.43,1.4778333333333329,1.681488537149443,6.34,1.397833333333334,1.4503127560617675,3.0,4.0,3.0,3.0,0.0,0.0,75.61,58.22999999999999,16.29412715247481,0.0,3.990000000000002,1.2481443853896317,1.0
2018-08-31 13:40:26,41.016666666666666,4.560299078307894,0.0,0.0,0.0,0.0,0.8333333333333334,1.6068356804461397,3.0,6.0,0.1,0.476569663394342,626.0,0.0,50787.0,0.5333333333333333,9.85,1.816666666666667,2.006508618510818,6.21,1.8838333333333332,1.6923437680857076,9.74,1.7181666666666666,2.0169934763443873,3.0,4.0,3.0,3.0,0.0,0.0,75.84,57.59083333333333,13.94326145389777,0.0,4.295000000000001,1.5834338356446747,1.0
2018-08-31 13:55:39,45.59016393442623,4.623768481734093,21.0,0.0,25.0,104.0,0.11475409836065574,0.36961063547728623,1.0,5.0,0.0,0.0,637.0,0.0,29978.0,0.6721311475409836,6.87,1.6901639344262294,1.6723371787245127,7.52,2.0762295081967213,1.836804438814347,11.23,2.0868852459016396,2.4042084913637076,3.0,4.0,3.0,4.0,0.0,0.0,75.7,56.09426229508197,15.045422388998857,0.0,4.27377049180328,1.2873618552870392,5.0
2018-08-31 14:00:39,44.049180327868854,5.110206223849799,0.0,0.0,0.0,0.0,0.04918032786885246,0.21803894974650145,0.0,3.0,0.0,0.0,479.0,0.0,7844.0,0.8852459016393442,9.75,2.0906557377049184,2.1497735298184772,7.29,2.430163934426229,1.7423580686369442,9.94,2.044918032786885,2.1679787998277873,3.0,4.0,3.0,4.0,0.0,0.0,75.95,54.30065573770491,16.25096457330584,0.0,4.455737704918034,1.9158570397399988,1.0
2018-08-31 14:11:44,44.36065573770492,4.538842682465968,3.0,0.0,2.0,2.0,0.26229508196721313,0.6028167036024104,2.0,9.0,0.01639344262295082,0.128036879932896,938.0,0.0,56520.0,0.4918032786885246,6.17,1.6347540983606557,1.5313813008276513,11.45,2.425081967213115,2.393150380391796,7.99,1.8473770491803274,2.1116485673831114,4.0,3.0,3.0,3.0,0.01639344262295082,0.12803687993289606,75.66,55.77704918032787,16.611824738647492,0.0,4.529508196721311,1.6615599359532678,3.0
2018-08-31 14:16:44,49.9344262295082,3.623390918550452,5.0,0.0,2.0,11.0,1.1147540983606556,1.6842244570893525,8.0,6.0,0.03278688524590164,0.2560737598657921,384.0,0.0,52358.0,0.36065573770491804,8.1,1.43,1.8840629855005742,6.46,1.7362295081967207,1.5331385716175239,4.9,1.557049180327869,1.4906959719789667,4.0,3.0,3.0,3.0,0.0,0.0,75.66,63.61967213114756,12.394414732345252,0.0,3.7557377049180327,0.8361667676893033,2.0
2018-08-31 14:20:26,57.6,16.685729211575797,21.0,0.0,3.0,27.0,0.8666666666666667,1.6719689668138866,4.0,4.0,0.0,0.0,621.0,0.0,27506.0,0.5166666666666667,8.1,1.0328333333333335,1.2840614744070848,6.62,1.6459999999999997,1.635574019383212,6.75,1.1908333333333334,1.4339164002611355,3.0,4.0,3.0,3.0,0.0,0.0,89.06,65.18400000000001,11.567042485631614,0.0,4.248333333333335,1.3040343744386165,4.0
2018-08-31 14:25:26,55.81666666666667,17.59958750158619,2.0,0.0,1.0,0.0,0.4,1.1673525022060718,2.0,5.0,0.11666666666666667,0.6402241838994501,695.0,0.0,37833.0,0.8,8.63,1.707833333333333,1.9465441708421487,8.25,2.1610000000000005,2.1419868014595984,6.76,1.5176666666666665,1.6372924804892575,3.0,4.0,3.0,3.0,0.0,0.0,86.38,57.98816666666666,16.937504718034663,0.0,4.416666666666667,1.742117031491407,2.0
